content,Tampilan,Autentikasi,Transaksi
Memudahkan dalam bertransaksi,,,Positive
Verifikasi wajahnya jelek banget udah di turutin perintah nya masih juga nggak bisaaa,,Negative,
Animasi nya keren,Positive,,
"di BNI Mbanking yg dlu ada fitur Mobile Tunai jadi bisa tarik tunai tanpa kartu atm. di Wondr sekarang ini gaada fitur itu, mungkin boleh nanti ditambahkan lagi fitur itu karna sangat membantu banget",,,Positive
Verivikasi wajah susah sekali buang buang waktu,,Negative,
Tampilan lebih menarik dan mudah digunakan,Positive,,
tampilannya lebih menarik dan semakin mudah di gunakan,Positive,,
UI nya sangat menarik dan sangat mempermudah pemantauan keuangan karena memberikan bukti transaksi keluar masuk yang sangat detail,Positive,,Positive
"Min tolong lah, ada mobile tunai. Ini pake apk wondr karena bni mobile banking bug terus heran",,,Negative
"Kembangkan lagi untuk wondr.nya biar lebih menarik lagi tampilannya, biar semakin berminat pake wondr, semoga tahun depan tampilannya sudah lebih bagus dan lebih lengkap lagi ..tks",Positive,,
"Tidak ada fitur tarik tunai tanpa kartu, cek mutasi kadang ribet",,,Negative
"Aplikasi kok ribet amat. Udah ribet verifikasi wajahnya , dikasih batasan harian lagi. Tiga hari gagal terus, begitu gagal suruh nyoba lagi besoknya kapan jadinya coba. Aplikasi busukkk, hal mudah dibuat ribet. Kalo udah banyak yang mengeluh susah verifikasinya, aplikasinya yang harusnya diperbaiki bukan serta merta salah penggunanya. (Update, udah hari ke 8 dan masih gagal di proses yang sama. Disuruh email data, sudah diemail ternyata jawabanya sama aja template haha )",,Negative,
Tidak bisa tarik tunai tanpa kartu harap di perbaiki lagi,,,Negative
Mudah transaksi,,,Positive
"Jelek banget apknya Setiap mau tf gabisa terus Katanya tim kami sedang memperbaiki kesalahan, tapi tiap kali mau tf tetap aja kek gtu terus... :(",,,Negative
"Baru beberapa hari menggunakan, masih kurang terbiasa dengan tampilannya, terus tulisan atau ukuran huruf terlalu kecil dan agak ngeblur baik tampilan atau huruf dan angka pada saat transaksi contohnya saat mengisi pulsa, membuat agak kesulitan bagi pengguna dengan mata plus untuk melihat atau membacanya",Positive,,Negative
Makin ribet ... Mau buka m banking aja harus scan KTP terus2 an,,Negative,
No rekeningnya beda sama no rekening yg di m-banking ini mah buka no rekening baru hadeh ribet,,,Negative
"Saya bingung, kok riwayat transaksi tranfers dari orang lain tidak tercatat ya, tidak seperti m banking BNI yg lama semua tercatat transaksinya , baik tranfers keluar atau kedalam",,,Negative
"Kalo gak mampu bikin aplikasi mending gak usah. Bukan nya mempermudah malah nyusahin. tiap kali TF via Virtual account SELALU GAGAL, tf pake barcode pake GAGAL. UNTUK APA BIKIN APLIKASI KALO UJUNG UJUNG NYA TRANSAKSI DI ATM !!!!",,,Negative
Verifikasi wajah yg sangat susah,,Negative,
"Makin buruk aplikasinya, mau beli token listrik aja ga bisa sedangkan saldo masih ada",,,Negative
Tolong tambahin fitur tarik tunai tanpa kartu. terimakasih,,,Positive
"Semenjak pembaharuan terakhir, jadi susah dibuka apk nya. Loadingnya lama banget padahal jaringan bagus, apk yang lain juga bisa dibuka, cuman wondr by bni aja yang loadingnya lamanya kebangetan. Padahal sebelum²nya bagus dipake, lebih mudah dan fleksibel buat login atau mau bayar qris, tapi sejak pembaharuan terakhir jadi kek gini apk nya, jadi susah dibuka.",,Positive,Negative
"transaksi beli listrik dan pulsa di BNI mobile banking gak bisa, harus pake wondr. transaksi tanpa kartu, eh wondr gk bisa harus bni mobile banking. kalo blum siap gk usah dulu, jadi ribet. mana tadi lagi butuh uang, lupa kartu ATM, ikut antri, eh malah gk ada menu transaksi Tanpa kartu, BNI mobile banking sudah tak hapus. masa harus instal lagi.",,,Negative
"Jujur untuk verifikasi agak susah, memang bagus di buat seperti itu, tetapi tolong di perhatikan bagi yang kualitas kameranya agak kurang sangat tidak di toleransi, verif jadi gagal terus, tolong gimana baiknya dari developer, jikalau solusinya ganti hape, wah sangat hebat sekali anda developer dalam penyelesaian masalah",,Negative,
"Ini sejak awal pemakaian selalu bermasalah, punya saya setiap keluar aplikasi kalau mau login selalu suruh scan KTP terus",,Negative,Negative
Tplong verifikasi wajah instruksinya yang benar dan mudah dimegerti,,Negative,
Saya Tarik tunai tanpa kartu ga bisa,,,Negative
Lebih simpel dan Mantap. Ada perkembangan dari app sebelumnya,Positive,,
Di wonder knp harus ada sisa saldo minimum ya ? Sedang kan di bni mobile banking sadlo bisa sampai 0..dan gak bisa mobile tunai juga..update bukan ny nambah fitur malah berkurang,,,Negative
Aplikasi yang memudahkan untuk transaksi,,,Positive
"Sudah menggunakan aplikasi wondr, dimenu bayar &beli pulsa dan paska bayar tidak ada menu pilih operator, apa harus di ulang instal. Transaksi favorit yang sebelumnya ada di aplikasi bni mobile pada hilang. Intinya masih belum mengakomodir transaksi seperti di bni mobile Mohon informasinya",,,Negative
Bukti mutasi lama keluarnya,,,Negative
"tolong aplikasi wonderbni menu setor tunai dan tarik tunai tanpa kartu di sediakan BCA, mandiri , BRI sudah ada kok BNI blm ada",,,Positive
"aplikasi dak jelas,, verifikasi wajah selalu gagal, sudah seminggu nyoba gak bisa2.. gak guna banget,",,Negative,
"Ribet pindah dari mobile BNI ke wonder.. Pakai scan ini scan itu.. Padahal usernya masih sama. Saran, pindah dari apk BNI ke wondr mestinya tinggal pakai kode refrensi yg bs d konfirmasi ulang, TDK perlu scan scan dokumen ulang",,Negative,
Sangat susah untuk verifikasi wajah padahal sudah sesuai dengan instruksi berhari hari pun tidak bisa 😅,,Negative,
Payah verifikasi wajahnya susah .. gagal trusss,,Negative,
"Udah kirim kode OTP di email untuk aktivasi email pas mau diinput untuk aktivasi, infonya kode OTP salah. Pusing eh, Berlulang ulang kirim kode OTP di email tapi pas diinput tulisan kode OTP salah. Begitu terus sampai habis limit aktivasi sehari",,Negative,
"Berkali kali verifikasi wajah ga lolos, ga tau kamera hape yg bermasalah, atau wajah dah berubah. Selama ini verifikasi di apk lain aman2 aja si. Cuma di wondr ini yg susah.",,Negative,
Fitur2nya kurang lengkap beda sama yang sebelymnya contoh bayar PGN,,,Negative
"Masih bagusan yg BNI Mobile, wondr ini tidak ada menu TARIK TUNAI. Kalau bisa diadakan juga menu SAHAM dong, bukan hanya reksadana saja. Biar makin update. Yang Jelas, di wndr ini makin banyak FITUR YANG HILANG dari versi BNI Mobile. Bukannya makin bagus, tapi lebih condong makin mundur dan downgrade",,,Negative
uang saya bisa hilang dari sini ada yang tarik tunai aplikasi gak jelas,,,Negative
"Cuman beda tampilan doang sama BNI mobile banking, limit transaksi kurang gede",Positive,,Negative
"Mau nanya klw transaksi gagal dan saldo suda terpotong tpi blm masuk ke rekening tujuan, kami komplinnya ke mana? Nomor gak ada Ribet amat🤦‍♂️",,,Negative
"Aplikasi wondr by BNI ini sangat keren, fitur simpel dan mudah dipahami.. Tolong tingkatkan fitur terbaru & tampilan yang lebih menarik... Wondr lebih bagus dari BNI MOBILE... MANTAP WONDR",Positive,,
fitur pembayaran pendidikan tidak ada,,,Negative
Sering NGEBUG dan selalu verifikasi ulang kalo mau pakai,,Negative,
Di wonder gak ada fitur tarik tunai,,,Positive
"Pembayaran sering bermasalah, pas mau transfer atau bayar lewat QRIS malah tidak bisa.",,,Negative
Aneh bgt mau screenshoot saldo aja kagak bisa gimana sih,,,Negative
Kumaha atau gmn nih wondr by BNI ini sering error selalu gagal login ada tulisan dlm perbaikan..nabung jd tdk khususu mana mau bayar anak kuliah lg. Jd aku tarik dana semua lwt ATM. Biasany nyaman2 saja..yang paling lucu ny??ktny anda blm terdaftr di Wondr hrs ke kantor cabang..,,Negative,Negative
sayangnya tidak ada laporan keterangan rinci di rincian saldo,,,Negative
Mantap mempermudah transaksi 👍👍👍👍👍,,,Positive
"Gajelas verivikasi wajah ribet gagal mulu, udh bener malah stuck gabisa masuk",,Negative,
"Aplikasinya simpel, tapi tolong diperbarui dan ditambah fiturnya seperti fitur tarik tunai yang belum ada di wondr.. masak kalah sama brimo. Terimakasih.",Positive,,Positive
"Mengalami kemunduran dari BNI Mobile.!!! Di BNI Mobile, setiap transaksi bisa dilihat Jurnal debet kredit & saldo. Lah ini cuma pengeluaran aja. Saldonya tidak langsung di display kan pada jurnal... Sepertinya akan ramai2 Delete Aplikasi Mobile. Karena BSI juga seperti ini. Tak ada Jurnal. Semoga BNI. Kembali Ke tranparansi Jurnal mobile terhadap Customer. TrimaKasih.",,,Negative
Transaksi nya lama....,,,Negative
"Loading lama, gangguan terus, ga bisa tarik tunai tanpa kartu seperti BCA...",,,Negative
Knp kode verifikasi emai gagal trus padahal kode benar dan pada akhirnya silahkan coba besok lagi,,Negative,
"Aplikasi apaan ini?verifikasi emailnya susah minta ampun, sudah dapat token verifikasi tapi saat dimasukkan salah terus dan minta ulang terus. Mendingan pake mbanking aja daripada pake aplikasi ini malah buat susah mau transaksi.",,Negative,Negative
Lebih ribet dan susah saat memverifikasi email Lebih baik menggunakan apk BNI yang lama,,Negative,
"Duh susah2 verifikasi wajah, pas bisa masuk lola apk nya padahal jaringan stabil, enakan apk yg lama dari pada ini",,Negative,
Saya sdh buka rek ...dan isi saldo 58.000 Tapi aplikasi TDK bisa di buka lagi.... Pas login....alasannya TDK bisa registrasi data...aplikasi ni waras atau sinting ya,,Negative,Negative
Serius ini ? Cara daftarnya seperti kita mau pinjol ? Berfoto sambil.pegang KTP ?? Maaf pak sy mau saving bukan pinjol.. memang pihak bank bisa jamin data kita aman ??,,Negative,
"Semua tahap sudah dilaksanakan, notice berhasil,tapi saat masuk salah pasword, kembali daftar gitu aja terus sampai ulang besok.Jauh lebih efisien BNI mobile banking yang lama.",,Negative,
Mau tanya kak klu batas transfer perhari wonder berapa ya soalnya kemarin mau transfer 13 juta gk bisa,,,Negative
"Bisa kah di tambah aplikasi untuk minjam uang bapak/ibu developer, soalnya sangat butuh modal untuk usaha, terima kasih",,,Positive
"terima notif uang masuk aja harus minimal 500k ke atas dan kadang gitu suka ngga ada notifi. masa kalah sama e-wallet. pelit amat masalah notif. satu lagi, untuk menu cardless di wondr kapan tersedia?",,,Negative
"Parah, susah sekali verifikasi wajah. Udh ikut panduan tetep aja g bisa masuk. Heran knp mst bikin aplikasi baru sih, knp g bni mobile nya aja diupgrade. Jd susah buat bayar listrik dan air",,Negative,Negative
Aplikasinya setelah di perbaharui tidak bisa login sudah hapus history atau cache tetap tidak bisa login harus registrasi ulang,,Negative,
"lebih mudah bayar apapun pakai wondr, lebih di perbaiki lagi",,,Positive
"Aplikasi tidak aman. Sejak instal aplikasi ini bulan Agustus. Tiba tiba ada transaksi di Amerika tepatnya 1600 Amphitheatre Pkwy, Mountain View, CA 94043, Amerika Serikat. Dan sampai bulan ini masih ada yang pakai transaksi ditempat yang sama",,,Negative
"Transaksi gagal tapi saldo terpotong, aduh",,,Negative
Tidak ada layanan setor dan tarik tunai tanpa kartu,,,Positive
Sangat membantu memudahkan pembayaran dan pembelian,,,Positive
sepertinya blm ada fitur mobile tarik tunai seperti di aplikasi sebelumnya yg bisa memudahkan tarik uang di ATM tanpa kartu,,,Positive
"Tidak Perlu sudah tidak ada Kendala sama sekali, tinggal fiturnya aja diperbanyak, Terima kasih Wondr, BNI sudah menguasai Dunia Offline, sudah banyak membantu, saya Khususnya, Selanjutnya BNI juga harus ikut serta dalam Rana Dunia Online, seperti TikTok, Game(Seperti E-Sport), Google Play(Di PlayStore), dan Transaksi-transaksi Online lainnya, seperti Wondr ini, Itu sudah baik, Perlebar lagi sayapmu, biar bisa terbang lebih tinggi, dan lebih jauh, Semangat",,,Positive
"Ga kaya aplikasi mobile yg lain, gaada menu masuk atau daftar gtu biar klo pindah hp tuh ga ribet. Ini mah ribet, aplagi buat saya yg punya hp kamera burem jdi susah mau foto KTP nya. Halah...",,Negative,
"Susah verifikasi wajahnya,mohon dipermudah",,Negative,
"Saya suka desain tampilannya yg lebih simpel, namun mohon segera lengkapi fitur dari aplikasi sebelumnya seperti Mobile Tunai",Positive,,Positive
Kek mana verivikasi 4 hari gk bisa bisa,,Negative,
"Fitur masih banyak yg kurang, seperti pembayaran dan fitur setor-tarik tunai tanpa kartu. Masih mending aplikasi lama.",,,Negative
tolong tambahkan fitur tarik uang tanpa kartu.....terimakasih,,,Positive
"Aplikasi anjing.....verifikasi wajah susah amat tengok kanan dekatkan layar tengok kanan,tolol emang yang buat",,Negative,
"takut menggunakan aplikasi ini, rawan penyalahgunaan data, kirim foto KTP, Selfi wajah",,Negative,
"Sangat mudah untuk aktifasinya, tanpa meminta user id,nmor rekening dan nmor kartu. Kemudian jika ganti email atau no hp tidak perlu ke cs lagi. Bisa ganti sendiri. Cukup dengan KTP saja, KTP asli,foto copy atau foto KTP juga bisa 🤤 dan Selfi nya juga mudah yg penting hp suport dan penerangannya cukup. Aplikasi paling gampang digunakan yg dimiliki BNI saat ini.",,Positive,Positive
"Bintang 3 dulu, masa kalah dgn Bank BUMN lain sekelas Mandiri dgn Livin' nya, BRI dengan BRImo nya, BSI dengan Byond nya dan bank digital swasta kayak blu by BCA digital, yang ga ada fitur Tarik/Setor Tunai Cardlessnya? asli downgrade bgt lho dri Apps sebelumnya, kekurangannya cuma 1 yg lama, OTP nya masa dibebankan ke pengguna, dan ngapain juga pake OTP pas di ATM, Mandiri, BRI, BSI dan BCA saja tidak pake OTP utk cardless lho, cuma dari Nomor Transaksi ATM utk Cardless nya ajaa lhoo. Too Bad.",,,Negative
"Ini kenapa yaa bni Punya saya tiba² ada penarikan padahal saya tidak melakukan transaksi tersebut, dan tidak ada yg tau kata sandi bank saya. Mana transaksi nya tengah malem lagi pas saya lagi tidur🙃",,,Negative
Ribet ni apk masa dri verivikasi wajah mulu,,Negative,
Memu tarik tunai tanapa kartu belum tersedia,,,Positive
"History keterangan Transaksinya Kurang Jelas, tidak seperti BNI M.Banking Jelas dengan keterangannya. Selebihnya bagus sih.. Semoga cepet di kembangkan biar mempermudah Melihat riwayat transaksinya. Ku naikan bintang nya. Terimakasih sudah merespon..",,,Negative
Kok tidak ada menu tarik tunai tanpa kartu,,,Positive
"Kenapa saya tidak bisa melakukan TopUp saldo Link aja, keterangan ada ""kendala di sistem kami"" kendala kok terus2an.. Akhirnya pindah pake BRI lancar.",,,Negative
"Sudah di set Limit Transaksi BI Fastnya dan sudah terlihat sisa limit yang masih bisa ditransaksikan melalui BI Fast, tapi setelah dicoba transfer dengan nilai dibawah limit sisanyavtetap saja Transfer Belum Berhasil !!!",,,Negative
"Untuk verifikasi wajah kok susah banget, ini spt ga niat bikin aplikasi, kalo memang mau dipake itu dipermudah",,Negative,
"aplikasi tambahan bukannya membaik malah memburuk. kalau blm bisa menghilangkan eror, lebih baik jangan rilis dahulu. masa iya saldo terpotong akan tetapi transaksi gagal, sekelas aplikasi link dengan bank BUMN masa bisa gitu. kepuasan pelanggan yang mengecewakan",,,Negative
"ribet banget, mesti download aplikasi ini lagi buat bayar listrik terpisah. mana proses pendaftarannya ribet banget lagi. ahh tolonglah. satuin aja kembali di bni mbanking.",,Negative,Negative
"Saya pakai mobile banking BNI selama ini untuk transaksi apapun. Tiba2 mau beli token listrik harus pakai aplikasi baru ini. Daftarnya sulit, ferivikasi wajahnya buat pusing gagal terus ajg. Mending ganti bank sekalian aja deh yg gak bikin repot nasabah.",,Negative,Positive
"aplikasi paling paling paling payahhhhh, mentok d otp email aja terussss",,Negative,
"Aplikasi tidak jelas, verifikasi sulit di mengerti, bni yang lama juga terdapat bug. Hadeh!",,Negative,
Sejak pake wondr ga bisa tarik tunai tanpa kartu,,,Negative
"Aplikasi tolol, nasabah selalu diingatkan ke aplikasi ini, dengan fungsi yang sama tapi otentifikasi wajah yang menyusahkan",,Negative,
"Apk setres Vermuk Mutter"" Sudah terang camera iphone di tempat terang masih gagal parahhh Bni nihh Di suruh kedip di suruh trngok.kanan kiri bawah depan belakanh stressss",,Negative,
Kenapa gak ada menu untuk penarikan tunai tampa kartu di ATM trus bayak fitur yang blm selesai gimana ini 🙏,,,Negative
Uang TF tidak masuk tolong bantu,,,Negative
"Like bangett aplikasi nya, tolong di tambah vitur tarik tunai tanpa kartu nya yaa ☺",,,Positive
Terus kendala.keterangan ada kendala sedikit.tp error terus ga bisa login,,Negative,
Buat transfer ad limit hairan Kurag memuaskan Mending BNI mobile,,,Negative
Anjir akun apaan susahhh bgtttttt mau verifikasi kode email aja gagall terusss anehhhhhhhh pdhl kode yg di masukan udahh benerrrr anehhhhhhhhhhhh lemotttt susahhhhhhh anehhh bgttt emosiiiiiiiiii,,Negative,
"menurut gw sih tampilannya kurang sama gak lengkap kayak bni m-banking dulu.... btw gw masuk wondr kartu simnya gak dipasang , otp lewat WA sinyal gak lancar , kok lancar aja ya masuknya aneh bgt yg pada komen gak bisa masuk. sekedar informasi gw daptar bni via online di website bni.",Negative,Positive,
Selama hampir 1 minggu pemakaian aplikasi ini Menurut aku lebih mudah pakek bni mobile drpd wondr riwayat transaksi bni mobile tercantum detail dan ada arus pengeluaran serta pemasukan dana sdngkan di wondr ada transaksi uang masuk malah tidak tercantum di riwayat transaksi Dan aku pribadi kurang suka sama tampilan bukti transaksi nya yg di wondr Kalau mau transisi pastiin aplikasi udah bener2 ready biar user nya ttp nyaman pakek bni Semoga segera diperbaiki,Negative,,Positive
Udh enak pakaii apk bni untuk bayar bayar sekarang makin ribet suruh download yang lain mengganggu kerja orang aja,,,Negative
"UI nya bagus ramah pengguna, tidak seribet BNI Mobile saat Login dan transaksi dan lebih bagus lagi apabila ditambahkan biaya pendidikan untuk pembayaran UKT. Kekurangannya cuman di maintenance nya mengapa sering di jam kerja",Positive,Positive,Positive
tolong tambahkan beberapa fitur yg udah ada di bni mobile banking seperti mobile tunai 🙏🏻,,,Positive
Kode OTP ke email ditunggu tdk masuk2... Kok bisa bgtu ya...,,Negative,
"Aplikasi lamban, kemampuan mendeteksi wajah lemah...",,Negative,
Kak kalo kita udh punya tabungan sebelum nya terus mau login ke wonde by BNI itu gimana caranya ya? Soalnya mau login tapi masuknya ke pendaftaran ulang,,Negative,
Saat verifikasi diberikan otp tapi otpnya ga valid dikirim emailnya ga sesuai sama batas waktu diberikan,,Negative,
mau login aja susah,,Negative,
"Perbaiki dong, masa seminggu ga buka app, tiba tiba suruh login lagi. Kalo loginnya ga ribet si oke, ini tiap login harus scan ktp terus. Ayolah masa tiap minggu harus melakukan tindakan yang sama secara berulang. Kalo posisi butuh dan kepepet, ternyata ga bawa dompet gimana, apa ga bingung.",,Negative,
"Verifikasi wajah nya, kurang sensitif... Gagal terus...maaf belum bisa pakai aplikasi ini...",,Negative,
"suka paksa nasabah bni buat pake apk ini, padahal BNI Mobile masih bisa d pakai. Saran : tutup rekening pindah ke bank lain aja Edit : developer bales masih bisa transaksi pake BNI Mobile, tpi kenyataannya pembayaran lain seperti listrik dll, dipaksa harus pake aplikask Wondr by BNI yg gaje ini. intinya sama, bni lgi buat nasabahnya ga nyaman dengan cara paksa pake aplikasi ni, solusi terbaik tutup rekening pindah bank lain",,,Negative
Saya sampai sekarang belum bisa login🙏🙏,,Negative,
Untuk verifikasi muka gak pernah sukses. Padahal udah ngikutin arahan dan udah pas.. Mana max 3x.... Ulangi besok lagi.,,Negative,
"bagus,menambah berbagai fitur akan tetapi menghilangkan banyak fitur yg berguna juga seperti contoh nya Mobile Tunai,yang mana saat urgent dan membutuhkan dana Cash tidak bisa tarik tunai",,,Negative
"ribet, udah enak transaksi pakai bni mobile, suruh pindah pake ini.. daftar susah bnget.. tambah ribet aja BNI",,Negative,Negative
"Belum seminggu menggunakan apk Wondr by BNI karna tidak bisa transaksi PLN Via Mbangking BNI, instal apk. Wondr By BNI, Transaksi PLN melalui BNI Wondr awalnya berhasil, berikutnya gagal tapi saldo tetap kepotong tidak seperti apk Mbanking BNI, langsung hapus akun.",,Negative,Negative
Aplikasi wondr sangat bagus gampang transaksi tidak perlu ingat pasword tinggal vinceroin saja yg perlu diingat hanya pin ATM saja wondr debesa,,,Positive
"Sudah 2 minggu saya coba verify wajah tetap Tidak terbaca , , , gak tau lagi dah",,Negative,
kesan pertama TDK bagus beli token listrik gagal tapi duit di rek.bni dipotong .....email cs selalu jawabanya baik tapi follow up nya lamban sekali,,Negative,Negative
"Ribet. Buat orangtua jujur ribet bgt. Udh bnr kayak bank lain cuma 1 apk mobile bank aja, jd biar bs bayar macem2 di 1 apk. Ini ada apk lain. Karena orangtua hpnya biasanya terbatas memorynya.",,,Negative
Gabisa masuk wonder pas mau verivikasi waja eror 😩 Rencana mau nabung disini tp takut kalo kebanyakan erornya🥹,,Negative,
"Apa si kode otp tidak bisa di masukin, Gimana ini saya mau masuk ke apk nya",,Negative,
"Sungguh kecewa, ada fitur sangat penting di BNI mobile yg dihilangkan di Wondr, yakni informasi saldo akhir pada setiap transaksi. Ini membuat BNI menjadi kurang transparan pada nasabahnya. Dan membuat saya berfikir bahwa BNI bukanlah Bank yg tepat untuk menabung/menyimpan uang.",,,Negative
"Sudah coba berbagai cara tpi ttp gabisa untuk log in ke aplikasi nya, pake wifi sudah pake kartu SIM yg terhubung ke BNI juga sudah tpi ttp sama aja hasilnya gbisa log in",,Negative,
Mohon ditingkatkan dan ditambahkan lagi buat pembayaran biaya pendidikan nya. Terimakasih,,,Positive
Tidak ada fitur mobile tunai,,,Negative
Ingin verifikasi tapi ktp hilang terus gimana ini ya ampun. Ga cukup verifikasi lewat selfie atau nomor telepon aja? Mau gak mau saya harus ke atm untuk ngambil uang. Jadi ribet,,Negative,Negative
kenapa pemberitahuan kalau ada uang keluar masuk sekara di update tidak muncul lagi.,,,Negative
Mau transfer pake VA malah tampilannya suruh sambungin ke linkAja! Beberapa kali dicb kaya gtu trs akhirnya balik lagi pake bni mobile banking.,Negative,,Negative
Verifikasi email kok salah terus itu gimn yah?,,Negative,
Informasi transaksi dr BNI lama nga semua dipindahkan JD susah,,,Negative
Buruk. Selalu saja logout dan minta verifikasi ulang. Sudah gitu verifikasi wajah susah. 🥲,,Negative,
"Sebuah pengembangan aplikasi yang sangat di paksakan untuk nasabahnya.. Kalau harus melalui aplikasi baru ini, kenapa menu di BNI mobile banking masih ada pilihan menu nya? Dan kalaupun dipindah ke aplikasi baru ini, kenapa mobile banking tidak di hapus saja? Ini bukan mempermudah nasabah, melainkam menambah beban.... karna selain menambah aplikasi baru, juga harus mengingat sandi² transaksi lagi Semoga di baca pihak SDm & pengembang BNI🙏🏼",,,Negative
ga bisa tarik tunaiiiiii,,,Negative
"Aplikasi ini pada tujuanya baik, namun belum bisa mengcover semua yang tersedia dalam BNI Mobile Banking, sedangkan di BNI Mobile fiturnya sudah dialihkan disini (pembelian token listrik; menyimpan ID PLN; laporan transaksi rekening koran) sehingga menjadikan pengguna kebingungan. Segera diupdate agar tidak mengecewakan nasabah, terlebih kedepan transaksi digital akan berperan sentral dalam kehidupan finansial. Ingat ya, jangan risih kalau dikritik, itu semua untuk kebaikan kedepan Terimakasih",,,Positive
"Alhamdulillah... saya baru pertama buat rekening BNI dan melalui aplikasi ini, lancar dan mudah tidak sampai 15 menit rekening saya sudah jadi.... Terimakasih kemudahannya dan terus tingkatkan lagi kinerja aplikasinya.",,,Positive
"Aneh Saat input kode OTP yang dikirim lewat whatsapp selalu gagal Padahal saya sudah cek ulang kode yang saya input, sampai 3 kali tetap sama",,Negative,
Kode otp selalu gagal sampai batas maksimal,,Negative,
Luar biasa lebih simpel,Positive,,
"Aplikasi nya ribet, masih enak yg lama bisa TF tunai tanpa kartu, ini malah cuma transaksi doang fitur nya jga sedikit gak ada enak nya,",,,Negative
Tidak ada fitur mobil tunai...masih mudah bni mobile...,,,Positive
"Kak, tolong dong di rincian transaksi, ditambahin saldo akhir. Biar gak bingung ngitungin. Biar kaya Bni mobile banking, kan setiap transaksi pasti ada tuh saldo akhir. Jadi gak perlu ngitung. Sejauh ini masih nyaman pake BNI mobile banking 😇",,,Positive
Tidak bisa tarik tunai. Wkwkw..,,,Negative
"Aplikasi ga jelas udh daftar pakai ktp udh selfie sambil nengok2 kiri udh buat password pas d akhir ga bs hrs call CS BNI atau hrs k kantor..ga jelassss !!! Pantesan pelanggan pd komen jelek d play store,, krn memang aplikasi gagal !!!",,Negative,
"Loading setelah verifikasi kode nya lama bet, jaringan paket data udah full stak tapi pas diminta vidio call sama admin buat verifikasi masih di bilang putus2, klo bikin aplikasi yg bener aja woi, rugi daftar di BNI ngapain coba bikin aplikasi klo gk guna kek gini",,Negative,
"Susah kali Wondr By Bni ini di buka Pelayanan sangat sangat buruk , susah untuk login , di coba pakai Kartu Data Internet tidak bisa , Pakai WIF juga sama saja , jadi bingung salah nya dimana lagi coba ...",,Negative,
"Udah saya kasih bintang 5 loh... Tapi kenapa pas bayar bpjs malau ada tulisan "" transaksi dalam proses mulu "" saya udah 3 hari nyoba bayar ulang tapi tetap aja seperti itu. ( walaupun saldo saya memang tidak berkurang ). saya bayar bpjs via wondr tujuannya kan biar mudah,tapi kalau seperti ini gimana coba.???",,,Negative
"Tidak bisa untuk tarik tunai di ATM tanpa kartu kan ya?? Saya udah ke ATM mau narik, lupa bawa kartu dan ternyata di aplikasinya tidak tersedia. Jadi merepotkan malah. Memang tampilan dan lain-lain nya bagus, itu saya keluhan saya",Positive,,Negative
Verivikasi busuk gabisa dipake,,Negative,
"Aplikasi tolol,ribet,susah kali cuma verifikasi wajah aja ribet",,Negative,
Kenapa BIFAST nya gak bisa? Saat mau transfer cuma ada pilihan realtim online biaya 6500 Sedangkan BI -Fast biata 2500 tidak tersedia,,,Negative
"saat awal update semua berjalan lancar tnpa ada kendala,ok juga ada tercantum aset yg kita pnya.hy saja di history transaksinya kurang puas kurang mendetail disitu hy ada keterangan penerimaan dan pengeluaran saja tnpa ditulis saldonya sisa berapa dan saat pengeluaran tdk tercantum potongan adminnya berapa.aku rasa lebih ok dan suka aplikasi m-banking bni yg lama. kedepannya wondr bni lebih dilengkapin lgi kekurangannya,dan smoga lebih baik lgi.",,,Positive
Coba top up pulsa gak masuk sama sekali tapi di saldo berkurang. Duit sampai sekarang belum kembali. Riwayat saldo tidak lengkap dan tidak detail seperti mobile banking. Bila perlu tetap stay di mobile banking saja yang belum instal wondr ya dek ya,,,Negative
"Secara tampilan oke banget, tapi fitur nggak lengkap. Tolong dilengkapi biar nggak pakai 2 aplikasi.",Positive,,
Ngeselin bgt mau verifikasi wajah gagal terus,,Negative,
Aplikasi jadul tidak bisa tarik tunai,,,Negative
Tampilannya kurang ramah untuk orang-orang yang sudah usia lanjut,Negative,,
"aplikasi sialan, jelek banget nih bni. verif muka gagal trs suruh coba besok trs, trs kapan gue punya bni mbank nya begok. kalo udah login suka ke logout sendiri aneh bisa gak bikin apk tuh yg bener dikit yg memudahkan nasabah. ini ribet banget daftarnya, pas udh daftar di logout2in begok",,Negative,
"Internet saya stabil, semua aplikasi terupdate, gmail saya terupdate dan aktif, saya sudah mendapatkan kode otp tapi ketika memasukan kode untuk verifikasi di aplikasi wonder selalu tulisannya KODE YANG ANDA MASUKAN SALAH what? Itu saya peroleh kode dari alamat gmail saya lho kak admin langsung hitungan detik saya masukan ! Apakah ada yang salah dengan aplikasi ini? Sungguh sangat merepotkan ! Mohon kerja sama nya saya harus bagaimana? Mengantri langsung ke CS BNI kah? You cannot buy my time",,Negative,
"Aplikasi ajaib aneh bin oneng, OTP udah dikirim ke wa di registrasi awal minta lagi verifikasi email yg otpnya gabisa dipakai sama sekali. Nanti mau tf suruh kasih masuk lagi aja otp biar makin stress orang yg mau pakai.",,Negative,Negative
"Buruk.. Ngirim otp ke email di tungguin lama gak muncul"".. Gimana bisa di pake ni aplikasi",,Negative,
"susah sekali di verifikasi wajah,sudah didekatkan mlh coba lagi",,Negative,
Sering eror klw mau transaksi,,,Negative
kesalahan di verifikasi wajah,,Negative,
