content,content_stemmed,content_list,aspect_tokens,Tampilan,Authentikasi,Transaksi,aspects
"Sangat mudah dan cepat, tampilan lebih fresh, kerennnn wondr by bni","[sangat, mudah, cepat, tampilan, lebih, fresh, keren]","['sangat', 'mudah', 'cepat', 'tampilan', 'lebih', 'fresh', 'keren']","{'Tampilan': ['tampilan', 'keren'], 'Authentikasi': [], 'Transaksi': []}",Positive,NA,NA,Tampilan
"Aplikasi yang baru lebih ok, tampilan lebih fresh, lebih cepat, dan simpel, keren dah ...","[lebih, oke, tampilan, lebih, fresh, lebih, cepat, simpel, keren]","['lebih', 'oke', 'tampilan', 'lebih', 'fresh', 'lebih', 'cepat', 'simpel', 'keren']","{'Tampilan': ['tampilan', 'simpel', 'keren'], 'Authentikasi': [], 'Transaksi': []}",Positive,NA,NA,Tampilan
"Aplikasi qrisnya simple,jadi lebih mudah bertransaksi..👍","[qrisnya, simpel, lebih, mudah, transaksi]","['qrisnya', 'simpel', 'lebih', 'mudah', 'transaksi']","{'Tampilan': ['simpel'], 'Authentikasi': [], 'Transaksi': ['transaksi']}",Positive,NA,Positive,"Tampilan, Transaksi"
Cepet bangettt...banyak promonyaa dan lebih praktis dalam bertransaksi...kerennn banget neh aplikasi,"[cepat, banget, promonyaa, lebih, praktis, transaksi, keren, banget, nih]","['cepat', 'banget', 'promonyaa', 'lebih', 'praktis', 'transaksi', 'keren', 'banget', 'nih']","{'Tampilan': ['keren'], 'Authentikasi': [], 'Transaksi': ['transaksi']}",Positive,NA,Positive,"Tampilan, Transaksi"
Aplikasi baru utk bertransaksi di Bank BNI yg lebih canggih lebih cepat & menyenangkan,"[transaksi, bank, lebih, canggih, lebih, cepat, senang]","['transaksi', 'bank', 'lebih', 'canggih', 'lebih', 'cepat', 'senang']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Positive,Transaksi
"luar biasa aplikasi bni wondr, banyak promo promo menarik ada laporan keuangan nya yang beda dari yang lain","[promo, promo, menarik, lapor, uang, beda]","['promo', 'promo', 'menarik', 'lapor', 'uang', 'beda']","{'Tampilan': ['menarik'], 'Authentikasi': [], 'Transaksi': ['uang']}",Positive,NA,Positive,"Tampilan, Transaksi"
"Mobile banking terbaik, transaksi menjadi lebih mudah dan cepat, tampilannya juga sangat menarik","[baik, transaksi, lebih, mudah, cepat, tampilan, sangat, menarik]","['baik', 'transaksi', 'lebih', 'mudah', 'cepat', 'tampilan', 'sangat', 'menarik']","{'Tampilan': ['tampilan', 'menarik'], 'Authentikasi': [], 'Transaksi': ['transaksi']}",Positive,NA,Positive,"Tampilan, Transaksi"
"QRIS lebih cepat, tampilan menarik","[qris, lebih, cepat, tampilan, menarik]","['qris', 'lebih', 'cepat', 'tampilan', 'menarik']","{'Tampilan': ['tampilan', 'menarik'], 'Authentikasi': [], 'Transaksi': []}",Positive,NA,NA,Tampilan
"Tampilan lebih menarik, transaksi lebih cepat 👍🏻👍🏻","[tampilan, lebih, menarik, transaksi, lebih, cepat]","['tampilan', 'lebih', 'menarik', 'transaksi', 'lebih', 'cepat']","{'Tampilan': ['tampilan', 'menarik'], 'Authentikasi': [], 'Transaksi': ['transaksi']}",Positive,NA,Positive,"Tampilan, Transaksi"
Tolong di update app nya harus berapa kali saya verifikasi email tetap tidak mau verifikasi padahal sudah benar no OTP nya,"[tolong, update, kali, verifikasi, email, tidak, verifikasi, nomor, otp]","['tolong', 'update', 'kali', 'verifikasi', 'email', 'tidak', 'verifikasi', 'nomor', 'otp']","{'Tampilan': [], 'Authentikasi': ['verifikasi', 'email', 'verifikasi'], 'Transaksi': []}",NA,Positive,NA,Authentikasi
Pakai Wondr jadi lebih mudah untuk transaksi👍👍👍,"[pakai, lebih, mudah, transaksi]","['pakai', 'lebih', 'mudah', 'transaksi']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Positive,Transaksi
"Aplikasi nya sangat intuitif, juga desainnya modern & fitur lebih lengkap dari mbank BNI yang lama. Bravo.","[sangat, intuitif, desain, modern, fitur, lebih, lengkap, mbank, lama, bravo]","['sangat', 'intuitif', 'desain', 'modern', 'fitur', 'lebih', 'lengkap', 'mbank', 'lama', 'bravo']","{'Tampilan': ['desain'], 'Authentikasi': [], 'Transaksi': []}",Positive,NA,NA,Tampilan
"Aplikasi wondr mantull, nyaman banget pake aplikasi baru nya BNI. Semua transaksi jadi lebih mudah","[mantull, nyaman, banget, pakai, transaksi, lebih, mudah]","['mantull', 'nyaman', 'banget', 'pakai', 'transaksi', 'lebih', 'mudah']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Positive,Transaksi
Lebihhh lengkap dan lebih mudah trnsaksi qris,"[lebih, lengkap, lebih, mudah, transaksi, qris]","['lebih', 'lengkap', 'lebih', 'mudah', 'transaksi', 'qris']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Positive,Transaksi
Tampilannya lebih kekinian lebih praktis dan menarik,"[tampilan, lebih, kini, lebih, praktis, menarik]","['tampilan', 'lebih', 'kini', 'lebih', 'praktis', 'menarik']","{'Tampilan': ['tampilan', 'menarik'], 'Authentikasi': [], 'Transaksi': []}",Positive,NA,NA,Tampilan
"Klo buat aplikasi disempurnakan dlu baru dirilis, masa gw mau verif email udh sampe 3kali gagal mulu heran, padahal kode yg gw masukin udh bner","[sempurna, rilis, gue, verif, email, kali, gagal, melulu, heran, kode, gue, pasuk]","['sempurna', 'rilis', 'gue', 'verif', 'email', 'kali', 'gagal', 'melulu', 'heran', 'kode', 'gue', 'pasuk']","{'Tampilan': [], 'Authentikasi': ['email', 'kode'], 'Transaksi': []}",NA,Negative,NA,Authentikasi
Buruk sekali tidak bisa qriss transaksi sering gagal,"[buruk, tidak, qriss, transaksi, sering, gagal]","['buruk', 'tidak', 'qriss', 'transaksi', 'sering', 'gagal']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Negative,Transaksi
Tanpa userID lebih simple lebih keren bisa reset pin atm klo atm pas keblokir/lupa pin tanpa hrus ke CS,"[tanpa, userid, lebih, simpel, lebih, keren, reset, pin, atm, atm, pas, keblokirlupa, pin, tanpa, cs]","['tanpa', 'userid', 'lebih', 'simpel', 'lebih', 'keren', 'reset', 'pin', 'atm', 'atm', 'pas', 'keblokirlupa', 'pin', 'tanpa', 'cs']","{'Tampilan': ['simpel', 'keren'], 'Authentikasi': [], 'Transaksi': []}",Positive,NA,NA,Tampilan
Transaksi apapun jadi lebih muduah...thanks bni..,"[transaksi, lebih, muduah, thanks]","['transaksi', 'lebih', 'muduah', 'thanks']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Positive,Transaksi
"Keren dan gampang aplikasi terbaru BNI, lebih berwarna juga dan transaksi E-wallet ataupun Qris bisa tanpa login.","[keren, gampang, baru, lebih, warna, transaksi, e, wallet, qris, tanpa, login]","['keren', 'gampang', 'baru', 'lebih', 'warna', 'transaksi', 'e', 'wallet', 'qris', 'tanpa', 'login']","{'Tampilan': ['keren', 'warna'], 'Authentikasi': ['login'], 'Transaksi': ['transaksi']}",Positive,Positive,Positive,"Tampilan, Authentikasi, Transaksi"
"Aplikasi sangat bagus warna lebih menarik dan tidak membosankan , bisa mengatur keuangan lebih detail lagi , bisa buka blokir kartu ATM tanpa harus datang ke CS... Thankyou BNI","[sangat, bagus, warna, lebih, menarik, tidak, bosan, atur, uang, lebih, detail, buka, blokir, kartu, atm, tanpa, cs, thankyou]","['sangat', 'bagus', 'warna', 'lebih', 'menarik', 'tidak', 'bosan', 'atur', 'uang', 'lebih', 'detail', 'buka', 'blokir', 'kartu', 'atm', 'tanpa', 'cs', 'thankyou']","{'Tampilan': ['warna', 'menarik'], 'Authentikasi': [], 'Transaksi': ['uang']}",Positive,NA,Positive,"Tampilan, Transaksi"
Tampilan lebih fresh dan simpel,"[tampilan, lebih, fresh, simpel]","['tampilan', 'lebih', 'fresh', 'simpel']","{'Tampilan': ['tampilan', 'simpel'], 'Authentikasi': [], 'Transaksi': []}",Positive,NA,NA,Tampilan
"Aplikasi simpel, mempermudah dalam bertransaksi dan sangat membantu kami wondr by BNI keren Terima kasih BNI","[simpel, mudah, transaksi, sangat, bantu, keren, terima, kasih]","['simpel', 'mudah', 'transaksi', 'sangat', 'bantu', 'keren', 'terima', 'kasih']","{'Tampilan': ['simpel', 'keren'], 'Authentikasi': [], 'Transaksi': ['transaksi']}",Positive,NA,Positive,"Tampilan, Transaksi"
wondr semakin mudah untuk kita bertransaksi,"[mudah, transaksi]","['mudah', 'transaksi']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Positive,Transaksi
Tampilan lebih menarik. Lebih mudah dipahami menu menu nya. Lebih simple langkah langkah transaksinya.,"[tampilan, lebih, menarik, lebih, mudah, paham, menu, menu, lebih, simpel, langkah, langkah, transaksi]","['tampilan', 'lebih', 'menarik', 'lebih', 'mudah', 'paham', 'menu', 'menu', 'lebih', 'simpel', 'langkah', 'langkah', 'transaksi']","{'Tampilan': ['tampilan', 'menarik', 'simpel'], 'Authentikasi': [], 'Transaksi': ['transaksi']}",Positive,NA,Positive,"Tampilan, Transaksi"
"Mbanking dengan tampilan menarik dan proses transaksi yang cepat, bisa kelola keuangan lewat mbanking, keren..👍","[m, tampilan, menarik, proses, transaksi, cepat, kelola, uang, m, keren]","['m', 'tampilan', 'menarik', 'proses', 'transaksi', 'cepat', 'kelola', 'uang', 'm', 'keren']","{'Tampilan': ['tampilan', 'menarik', 'keren'], 'Authentikasi': [], 'Transaksi': ['transaksi', 'uang']}",Positive,NA,Positive,"Tampilan, Transaksi"
Sangat mudah dan simple,"[sangat, mudah, simpel]","['sangat', 'mudah', 'simpel']","{'Tampilan': ['simpel'], 'Authentikasi': [], 'Transaksi': []}",Positive,NA,NA,Tampilan
"mantap, memudahkan bertransaksi, tampilan sangan milenial","[mantap, mudah, transaksi, tampilan, sangat, milenial]","['mantap', 'mudah', 'transaksi', 'tampilan', 'sangat', 'milenial']","{'Tampilan': ['tampilan'], 'Authentikasi': [], 'Transaksi': ['transaksi']}",Positive,NA,Positive,"Tampilan, Transaksi"
Sangat mudah dan simpel,"[sangat, mudah, simpel]","['sangat', 'mudah', 'simpel']","{'Tampilan': ['simpel'], 'Authentikasi': [], 'Transaksi': []}",Positive,NA,NA,Tampilan
"Tampilan keren, trx lebih simple","[tampilan, keren, transaksi, lebih, simpel]","['tampilan', 'keren', 'transaksi', 'lebih', 'simpel']","{'Tampilan': ['tampilan', 'keren', 'simpel'], 'Authentikasi': [], 'Transaksi': ['transaksi']}",Positive,NA,Positive,"Tampilan, Transaksi"
"Wondr BNI adalah solusi sempurna untuk semua kebutuhan finansial Anda. Aplikasi ini memudahkan belanja, pembayaran, dan transfer dengan antarmuka yang user-friendly. Semua fitur yang Anda butuhkan ada dalam genggaman tangan, membuat transaksi menjadi sangat efisien dan praktis. Wondr BNI benar-benar mempermudah kehidupan sehari-hari dengan kemudahan dan kecepatan yang ditawarkannya. Sangat recommended untuk siapa saja yang mencari aplikasi keuangan yang handal dan terintegras.","[solusi, sempurna, butuh, finansial, mudah, belanja, bayar, transfer, antarmuka, user, friendly, fitur, butuh, genggam, tangan, transaksi, sangat, efisien, praktis, mudah, hidup, hari, mudah, cepat, tawar, sangat, recommended, cari, uang, handal, terintegras]","['solusi', 'sempurna', 'butuh', 'finansial', 'mudah', 'belanja', 'bayar', 'transfer', 'antarmuka', 'user', 'friendly', 'fitur', 'butuh', 'genggam', 'tangan', 'transaksi', 'sangat', 'efisien', 'praktis', 'mudah', 'hidup', 'hari', 'mudah', 'cepat', 'tawar', 'sangat', 'recommended', 'cari', 'uang', 'handal', 'terintegras']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['bayar', 'transfer', 'transaksi', 'uang']}",NA,NA,Positive,Transaksi
"Asik banget, gampang ngoperasiinnya, fitur lengkap, aluuusss banget movement nya gak grandet grandet, tampilannya gak ngebosenin, keren pokoknya kemajuan dari mobile banking terbarunya BNI.. MANTAAAPP ......","[asik, banget, gampang, ngoperasiinnya, fitur, lengkap, aluuusss, banget, movement, tidak, grandet, grandet, tampilan, tidak, ngebosenin, keren, pokok, maju, baru, mantaaapp]","['asik', 'banget', 'gampang', 'ngoperasiinnya', 'fitur', 'lengkap', 'aluuusss', 'banget', 'movement', 'tidak', 'grandet', 'grandet', 'tampilan', 'tidak', 'ngebosenin', 'keren', 'pokok', 'maju', 'baru', 'mantaaapp']","{'Tampilan': ['tampilan', 'keren'], 'Authentikasi': [], 'Transaksi': []}",Positive,NA,NA,Tampilan
sangat bagus dan simpel,"[sangat, bagus, simpel]","['sangat', 'bagus', 'simpel']","{'Tampilan': ['simpel'], 'Authentikasi': [], 'Transaksi': []}",Positive,NA,NA,Tampilan
"Terimakasih BNI.. Aplikasinya keren, tampilannya tambah kekinian, mau transaksi juga lebih mudah dan cepet sekarang.. Promonya juga banyak..","[terimakasih, keren, tampilan, kini, transaksi, lebih, mudah, cepat, promonya]","['terimakasih', 'keren', 'tampilan', 'kini', 'transaksi', 'lebih', 'mudah', 'cepat', 'promonya']","{'Tampilan': ['keren', 'tampilan'], 'Authentikasi': [], 'Transaksi': ['transaksi']}",Positive,NA,Positive,"Tampilan, Transaksi"
"Tampilannya keren, user friendly banget dan sangat memudahkan dalam betransaksi. Bisa melihat histori transaksi lebih dari 3 bulan dan ada menu Insight yang sangat menarik untuk melihat pemasukan dan pengeluaran. Pokoknya keren.","[tampilan, keren, user, friendly, banget, sangat, mudah, betransaksi, histori, transaksi, lebih, menu, insight, sangat, menarik, pasu, keluar, pokok, keren]","['tampilan', 'keren', 'user', 'friendly', 'banget', 'sangat', 'mudah', 'betransaksi', 'histori', 'transaksi', 'lebih', 'menu', 'insight', 'sangat', 'menarik', 'pasu', 'keluar', 'pokok', 'keren']","{'Tampilan': ['tampilan', 'keren', 'menarik', 'keren'], 'Authentikasi': [], 'Transaksi': ['transaksi']}",Positive,NA,Positive,"Tampilan, Transaksi"
lebih simple dan mudah utk bertransaksi,"[lebih, simpel, mudah, transaksi]","['lebih', 'simpel', 'mudah', 'transaksi']","{'Tampilan': ['simpel'], 'Authentikasi': [], 'Transaksi': ['transaksi']}",Positive,NA,Positive,"Tampilan, Transaksi"
"aplikasinya mudah di gunakan,simpel dan mudah di pahami .semuga BNI selalu menjadi yg terbaik.","[mudah, simpel, mudah, paham, semuga, baik]","['mudah', 'simpel', 'mudah', 'paham', 'semuga', 'baik']","{'Tampilan': ['simpel'], 'Authentikasi': [], 'Transaksi': []}",Positive,NA,NA,Tampilan
"keren nih aplikasi, lebih simple dan cepat","[keren, nih, lebih, simpel, cepat]","['keren', 'nih', 'lebih', 'simpel', 'cepat']","{'Tampilan': ['keren', 'simpel'], 'Authentikasi': [], 'Transaksi': []}",Positive,NA,NA,Tampilan
"Tampilan kekinian, mudah, informatif dan cepat 😍","[tampilan, kini, mudah, informatif, cepat]","['tampilan', 'kini', 'mudah', 'informatif', 'cepat']","{'Tampilan': ['tampilan'], 'Authentikasi': [], 'Transaksi': []}",Positive,NA,NA,Tampilan
Aplikasinya colourful dan mudah dalam bertransaksi,"[colourful, mudah, transaksi]","['colourful', 'mudah', 'transaksi']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Positive,Transaksi
Tampilan lebih kekinian dan lebih mudah di pahami... #Wondr #JadiinMaumu,"[tampilan, lebih, kini, lebih, mudah, paham, jadiinmaumu]","['tampilan', 'lebih', 'kini', 'lebih', 'mudah', 'paham', 'jadiinmaumu']","{'Tampilan': ['tampilan'], 'Authentikasi': [], 'Transaksi': []}",Positive,NA,NA,Tampilan
"Tampilan keren, proses transaksi cepat, buka qris gak perlu login","[tampilan, keren, proses, transaksi, cepat, buka, qris, tidak, login]","['tampilan', 'keren', 'proses', 'transaksi', 'cepat', 'buka', 'qris', 'tidak', 'login']","{'Tampilan': ['tampilan', 'keren'], 'Authentikasi': ['login'], 'Transaksi': ['transaksi']}",Positive,Positive,Positive,"Tampilan, Authentikasi, Transaksi"
"Wondr ini luuaarr biasa...sesimpel itu lohhh...kalau mau transaksi apapun simple banget langkah2 nya, kalau mau aktivasi juga simple banget dan mudah, sukkaaaa bangetttt sama wondr🎉🥳","[luuaarr, simpel, loh, transaksi, simpel, banget, langkah, aktivasi, simpel, banget, mudah, sukkaaaa, banget]","['luuaarr', 'simpel', 'loh', 'transaksi', 'simpel', 'banget', 'langkah', 'aktivasi', 'simpel', 'banget', 'mudah', 'sukkaaaa', 'banget']","{'Tampilan': ['simpel', 'simpel', 'simpel'], 'Authentikasi': [], 'Transaksi': ['transaksi']}",Positive,NA,Positive,"Tampilan, Transaksi"
Aplikasi paling simple & mudah utk segala transaksi 👌👌👌👌,"[simpel, mudah, transaksi]","['simpel', 'mudah', 'transaksi']","{'Tampilan': ['simpel'], 'Authentikasi': [], 'Transaksi': ['transaksi']}",Positive,NA,Positive,"Tampilan, Transaksi"
Aktivasi wondr by BNI lebih cepat dan mudah..menu transaksi lebih simpel dan cepat,"[aktivasi, lebih, cepat, mudah, menu, transaksi, lebih, simpel, cepat]","['aktivasi', 'lebih', 'cepat', 'mudah', 'menu', 'transaksi', 'lebih', 'simpel', 'cepat']","{'Tampilan': ['simpel'], 'Authentikasi': [], 'Transaksi': ['transaksi']}",Positive,NA,Positive,"Tampilan, Transaksi"
Lebih cepat untuk transaksi dan lebih mudah penggunaannya .. TOP 👍🏻,"[lebih, cepat, transaksi, lebih, mudah, guna, top]","['lebih', 'cepat', 'transaksi', 'lebih', 'mudah', 'guna', 'top']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Positive,Transaksi
"Wondr aplikasi generasi terbaru,tampilan bagus.mempermudah transaksi transfer maupun pembayaran .terima kasih","[generasi, baru, tampilan, bagus, mudah, transaksi, transfer, bayar, terima, kasih]","['generasi', 'baru', 'tampilan', 'bagus', 'mudah', 'transaksi', 'transfer', 'bayar', 'terima', 'kasih']","{'Tampilan': ['tampilan'], 'Authentikasi': [], 'Transaksi': ['transaksi', 'transfer', 'bayar']}",Positive,NA,Positive,"Tampilan, Transaksi"
Tampilan lebih menarik..lebih gampang utk transaksi,"[tampilan, lebih, menarik, lebih, gampang, transaksi]","['tampilan', 'lebih', 'menarik', 'lebih', 'gampang', 'transaksi']","{'Tampilan': ['tampilan', 'menarik'], 'Authentikasi': [], 'Transaksi': ['transaksi']}",Positive,NA,Positive,"Tampilan, Transaksi"
Wondr mantap. Transaksi lebih cepat,"[mantap, transaksi, lebih, cepat]","['mantap', 'transaksi', 'lebih', 'cepat']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Positive,Transaksi
Wonr by BNI is wonderfull Trx QRIS jadi lebih mudah,"[wonr, is, wonderfull, transaksi, qris, lebih, mudah]","['wonr', 'is', 'wonderfull', 'transaksi', 'qris', 'lebih', 'mudah']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Positive,Transaksi
"Pembayaran menggunakan qris melalui wondr lebih cepat dan praktis Warna colour full banget, akses lebih cepet. Sangat easy to use.👍👍👍","[bayar, qris, lebih, cepat, praktis, warna, colour, full, banget, akses, lebih, cepat, sangat, easy, use]","['bayar', 'qris', 'lebih', 'cepat', 'praktis', 'warna', 'colour', 'full', 'banget', 'akses', 'lebih', 'cepat', 'sangat', 'easy', 'use']","{'Tampilan': ['warna'], 'Authentikasi': [], 'Transaksi': ['bayar']}",Positive,NA,Positive,"Tampilan, Transaksi"
Aplikasi mudah digunakan sangat membantu buat transaksi sehari-hari,"[mudah, sangat, bantu, transaksi, hari]","['mudah', 'sangat', 'bantu', 'transaksi', 'hari']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Positive,Transaksi
lebih simpel penggunaannya... josss,"[lebih, simpel, guna, josss]","['lebih', 'simpel', 'guna', 'josss']","{'Tampilan': ['simpel'], 'Authentikasi': [], 'Transaksi': []}",Positive,NA,NA,Tampilan
"Tiada hari tanpa wondr, teman setia di mana saja....mantabs tampilannya cepat prosesnya","[tiada, tanpa, teman, mantab, tampilan, cepat, proses]","['tiada', 'tanpa', 'teman', 'mantab', 'tampilan', 'cepat', 'proses']","{'Tampilan': ['tampilan'], 'Authentikasi': [], 'Transaksi': []}",Positive,NA,NA,Tampilan
"Menu di wondr lengkap dan mempermudah dalam bertransaksi, lebih kekinian dan menarik","[menu, lengkap, mudah, transaksi, lebih, kini, menarik]","['menu', 'lengkap', 'mudah', 'transaksi', 'lebih', 'kini', 'menarik']","{'Tampilan': ['menarik'], 'Authentikasi': [], 'Transaksi': ['transaksi']}",Positive,NA,Positive,"Tampilan, Transaksi"
Ini aplikasinya kerennnn banget....tampilannya seru...operasionalnya juga user friendly. bener -bener wonderfull app deh. kedepannya semoga makin ok.,"[keren, banget, tampilan, seru, operasional, user, friendly, wonderfull, depan, moga, oke]","['keren', 'banget', 'tampilan', 'seru', 'operasional', 'user', 'friendly', 'wonderfull', 'depan', 'moga', 'oke']","{'Tampilan': ['keren', 'tampilan'], 'Authentikasi': [], 'Transaksi': []}",Positive,NA,NA,Tampilan
wondr lebih simpel,"[lebih, simpel]","['lebih', 'simpel']","{'Tampilan': ['simpel'], 'Authentikasi': [], 'Transaksi': []}",Positive,NA,NA,Tampilan
"Waaaahh mantap bangeettt!! Buat transaksi cepet, warnanya lucuuuu","[waaaahh, mantap, banget, transaksi, cepat, warna, lucu]","['waaaahh', 'mantap', 'banget', 'transaksi', 'cepat', 'warna', 'lucu']","{'Tampilan': ['warna'], 'Authentikasi': [], 'Transaksi': ['transaksi']}",Positive,NA,Positive,"Tampilan, Transaksi"
Tampilannya sangat menarik dan lebih simpel,"[tampilan, sangat, menarik, lebih, simpel]","['tampilan', 'sangat', 'menarik', 'lebih', 'simpel']","{'Tampilan': ['tampilan', 'menarik', 'simpel'], 'Authentikasi': [], 'Transaksi': []}",Positive,NA,NA,Tampilan
"Wondr adalah pilihan terbaik bertransaksi, semua jadi lebih mudah dan praktis","[pilih, baik, transaksi, lebih, mudah, praktis]","['pilih', 'baik', 'transaksi', 'lebih', 'mudah', 'praktis']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Positive,Transaksi
aplikasi simpel dan kekinian.mantaaap BNI.TRANSAKSI jd makin MUDAH,"[simpel, kini, mantap, transaksi, mudah]","['simpel', 'kini', 'mantap', 'transaksi', 'mudah']","{'Tampilan': ['simpel'], 'Authentikasi': [], 'Transaksi': ['transaksi']}",Positive,NA,Positive,"Tampilan, Transaksi"
App super yg memudahkan kita bertransaksi dimana pun & kapan pun tanpa terbatas ruang dan waktu. Top Up dana di tabunganmu dan jadikan Wonder sebagai pilihan utama dalam bertansaksi di genggamanmu..,"[super, mudah, transaksi, mana, tanpa, batas, ruang, top, up, dana, tabung, jadi, pilih, utama, bertansaksi, genggam]","['super', 'mudah', 'transaksi', 'mana', 'tanpa', 'batas', 'ruang', 'top', 'up', 'dana', 'tabung', 'jadi', 'pilih', 'utama', 'bertansaksi', 'genggam']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Positive,Transaksi
Aplikasi terbaik sepanjang masa kerenn!,"[baik, keren]","['baik', 'keren']","{'Tampilan': ['keren'], 'Authentikasi': [], 'Transaksi': []}",Positive,NA,NA,Tampilan
"BNI WONDR lebih praktis, sangat mudah digunakan, simpel dan mudah dipahami.","[lebih, praktis, sangat, mudah, simpel, mudah, paham]","['lebih', 'praktis', 'sangat', 'mudah', 'simpel', 'mudah', 'paham']","{'Tampilan': ['simpel'], 'Authentikasi': [], 'Transaksi': []}",Positive,NA,NA,Tampilan
Transaksi jd lebih sat set😍,"[transaksi, lebih, sat, set]","['transaksi', 'lebih', 'sat', 'set']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Positive,Transaksi
"lebih praktis dan mudah. sangat simpel, transaksi apapun jadi lebih gampang 🤝","[lebih, praktis, mudah, sangat, simpel, transaksi, lebih, gampang]","['lebih', 'praktis', 'mudah', 'sangat', 'simpel', 'transaksi', 'lebih', 'gampang']","{'Tampilan': ['simpel'], 'Authentikasi': [], 'Transaksi': ['transaksi']}",Positive,NA,Positive,"Tampilan, Transaksi"
Lebih mudah dan aman dalam bertransaksi,"[lebih, mudah, aman, transaksi]","['lebih', 'mudah', 'aman', 'transaksi']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Positive,Transaksi
Keren lebih simple..sukses BNI,"[keren, lebih, simpel, sukses]","['keren', 'lebih', 'simpel', 'sukses']","{'Tampilan': ['keren', 'simpel'], 'Authentikasi': [], 'Transaksi': []}",Positive,NA,NA,Tampilan
"Mudah dan cepat untuk melakukan transaksi, dan tampilan nya bagus","[mudah, cepat, transaksi, tampilan, bagus]","['mudah', 'cepat', 'transaksi', 'tampilan', 'bagus']","{'Tampilan': ['tampilan'], 'Authentikasi': [], 'Transaksi': ['transaksi']}",Positive,NA,Positive,"Tampilan, Transaksi"
"lebih keren, cepet, menarik, simpel, enak bgt buat ganti pin kartu atm, blokir dan buka blokir atm nya juga ada..jd bs ketauan boros kl pake wondr... so bs pinter nabung nich...","[lebih, keren, cepat, menarik, simpel, enak, banget, ganti, pin, kartu, atm, blokir, buka, blokir, atm, tahu, boros, pakai, sok, pintar, nabung, nih]","['lebih', 'keren', 'cepat', 'menarik', 'simpel', 'enak', 'banget', 'ganti', 'pin', 'kartu', 'atm', 'blokir', 'buka', 'blokir', 'atm', 'tahu', 'boros', 'pakai', 'sok', 'pintar', 'nabung', 'nih']","{'Tampilan': ['keren', 'menarik', 'simpel'], 'Authentikasi': [], 'Transaksi': []}",Positive,NA,NA,Tampilan
lebih simple apknya,"[lebih, simpel]","['lebih', 'simpel']","{'Tampilan': ['simpel'], 'Authentikasi': [], 'Transaksi': []}",Positive,NA,NA,Tampilan
wondr lbh cepet untuk transaksi,"[lebih, cepat, transaksi]","['lebih', 'cepat', 'transaksi']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Positive,Transaksi
"Sangat mudah digunakan, belanja tinggal bayar pake QRIS dengan langkah yang sangat mudah dan cepat... Selain itu memiliki fitur-fitur yang sangat lengkap...","[sangat, mudah, belanja, tinggal, bayar, pakai, qris, langkah, sangat, mudah, cepat, milik, fitur, fitur, sangat, lengkap]","['sangat', 'mudah', 'belanja', 'tinggal', 'bayar', 'pakai', 'qris', 'langkah', 'sangat', 'mudah', 'cepat', 'milik', 'fitur', 'fitur', 'sangat', 'lengkap']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['bayar']}",NA,NA,Positive,Transaksi
Tampilan lebih keren... Penggunaannya lebih mudah dan lebih cepat...,"[tampilan, lebih, keren, guna, lebih, mudah, lebih, cepat]","['tampilan', 'lebih', 'keren', 'guna', 'lebih', 'mudah', 'lebih', 'cepat']","{'Tampilan': ['tampilan', 'keren'], 'Authentikasi': [], 'Transaksi': []}",Positive,NA,NA,Tampilan
Tampilan bagus menyegarkan,"[tampilan, bagus, segar]","['tampilan', 'bagus', 'segar']","{'Tampilan': ['tampilan'], 'Authentikasi': [], 'Transaksi': []}",Positive,NA,NA,Tampilan
